variable,lead_time_step,model_name,rmse
t2m,1,backbone_epoch_6,0.7390576820799758
t2m,1,backbone,0.7415462858850064
t2m,1,pruned_1_layers_epoch_6,0.7449048834140074
t2m,2,backbone,0.8226299182662751
t2m,2,backbone_epoch_6,0.8284430880120347
t2m,2,pruned_1_layers_epoch_6,0.8399692670593049
t2m,3,backbone,0.8749871467078865
t2m,3,backbone_epoch_6,0.8955917967764359
t2m,3,pruned_1_layers_epoch_6,0.9107266068458556
t2m,4,backbone,0.9333545725438848
t2m,4,backbone_epoch_6,0.9638187931902582
t2m,4,pruned_1_layers_epoch_6,0.986304732674327
t2m,5,backbone,0.9881911580789022
t2m,5,backbone_epoch_6,1.0323058936183014
t2m,5,pruned_1_layers_epoch_6,1.0930318189732855
t2m,6,backbone,1.04864101336655
t2m,6,backbone_epoch_6,1.1012810262221864
t2m,6,pruned_2_layers_epoch_6,1.181275712711185
t2m,7,backbone,1.0967049472158847
t2m,7,backbone_epoch_6,1.1644266490829724
t2m,7,pruned_2_layers_epoch_6,1.274291806380842
t2m,8,backbone,1.156690362445469
t2m,8,backbone_epoch_6,1.2315917055034105
t2m,8,pruned_2_layers_epoch_6,1.4160891911171003
t2m,9,backbone,1.2132152911671048
t2m,9,backbone_epoch_6,1.302139659167668
t2m,9,pruned_2_layers_epoch_6,1.6197538009568966
t2m,10,backbone,1.2778140193257252
t2m,10,backbone_epoch_6,1.3725577253203152
t2m,10,pruned_4_layers_epoch_6,1.769828143732508
t2m,11,backbone,1.33864154229617
t2m,11,backbone_epoch_6,1.445510381426891
t2m,11,pruned_4_layers_epoch_6,1.95167720384438
t2m,12,backbone,1.4080131952989037
t2m,12,backbone_epoch_6,1.5188937899786668
t2m,12,pruned_4_layers_epoch_6,2.168714792368798
t2m,13,backbone,1.4763547801438657
t2m,13,backbone_epoch_6,1.597951916343007
t2m,13,pruned_4_layers_epoch_6,2.426668204408784
t2m,14,backbone,1.5495397844794077
t2m,14,backbone_epoch_6,1.6739885713801037
t2m,14,pruned_4_layers_epoch_6,2.70766886119736
t2m,15,backbone,1.6219221293593251
t2m,15,backbone_epoch_6,1.7555610694032808
t2m,15,pruned_4_layers_epoch_6,3.0071842270856464
t2m,16,backbone,1.697380506792548
t2m,16,backbone_epoch_6,1.8324057323306635
t2m,16,pruned_4_layers_epoch_6,3.3130994775441773
t2m,17,backbone,1.770435988570059
t2m,17,backbone_epoch_6,1.9139163201081688
t2m,17,pruned_4_layers_epoch_6,3.621302820450767
t2m,18,backbone,1.8484467454462743
t2m,18,backbone_epoch_6,1.9923561858065304
t2m,18,pruned_4_layers_epoch_6,3.9223088152581753
t2m,19,backbone,1.9226100604627383
t2m,19,backbone_epoch_6,2.0746174477998105
t2m,19,pruned_4_layers_epoch_6,4.215181417305376
t2m,20,backbone,2.000409933441844
t2m,20,backbone_epoch_6,2.152461067258313
t2m,20,pruned_4_layers_epoch_6,4.498050657730529
t2m,21,backbone,2.0732400530543407
t2m,21,backbone_epoch_6,2.233026716296233
t2m,21,pruned_4_layers_epoch_6,4.773339501972305
t2m,22,backbone,2.148724086457791
t2m,22,backbone_epoch_6,2.311989463241406
t2m,22,pruned_4_layers_epoch_6,5.039429861740027
t2m,23,backbone,2.219700020118798
t2m,23,backbone_epoch_6,2.3971909411126675
t2m,23,pruned_4_layers_epoch_6,5.298494485503468
t2m,24,backbone,2.293268286982062
t2m,24,backbone_epoch_6,2.492360835634796
t2m,24,pruned_4_layers_epoch_6,5.550117900251676
t2m,25,backbone,2.3614596548027165
t2m,25,backbone_epoch_6,2.610212818870332
t2m,25,pruned_4_layers_epoch_6,5.794912146456415
t2m,26,backbone,2.4293229832995538
t2m,26,backbone_epoch_6,2.7359781025508263
t2m,26,pruned_4_layers_epoch_6,6.034171123078416
t2m,27,backbone,2.49280796770277
t2m,27,backbone_epoch_6,2.8835576779349554
t2m,27,pruned_4_layers_epoch_6,6.266696668869956
t2m,28,backbone,2.559483763891892
t2m,28,backbone_epoch_6,3.0849639144023704
t2m,28,pruned_4_layers_epoch_6,6.493110715343965
t850,1,backbone,0.51979684979556
t850,1,backbone_epoch_6,0.5224213397036718
t850,1,pruned_1_layers_epoch_6,0.5281521308355491
t850,2,backbone,0.6755504774647718
t850,2,backbone_epoch_6,0.6899785289551292
t850,2,pruned_1_layers_epoch_6,0.6967174077833165
t850,3,backbone,0.7336604045756037
t850,3,backbone_epoch_6,0.7678213082878284
t850,3,pruned_1_layers_epoch_6,0.7747636770402919
t850,4,backbone,0.8339754882471522
t850,4,backbone_epoch_6,0.8793151205478433
t850,4,pruned_1_layers_epoch_6,0.8857139085924159
t850,5,backbone,0.8915363007417604
t850,5,backbone_epoch_6,0.9570335379525936
t850,5,pruned_1_layers_epoch_6,0.9658923212376388
t850,6,backbone,0.9953455288982924
t850,6,backbone_epoch_6,1.0686494331786087
t850,6,pruned_1_layers_epoch_6,1.0800641728513067
t850,7,backbone,1.0642962419120958
t850,7,backbone_epoch_6,1.157222733817287
t850,7,pruned_1_layers_epoch_6,1.177132234227058
t850,8,backbone,1.1725674747754742
t850,8,backbone_epoch_6,1.2716140347486102
t850,8,pruned_1_layers_epoch_6,1.3031061641330826
t850,9,backbone,1.2561686052290422
t850,9,backbone_epoch_6,1.3718255378680522
t850,9,pruned_1_layers_epoch_6,1.424813580246611
t850,10,backbone,1.3715707576474665
t850,10,backbone_epoch_6,1.4905459341390173
t850,10,pruned_1_layers_epoch_6,1.5699180211434818
t850,11,backbone,1.4656895578906524
t850,11,backbone_epoch_6,1.5982487721150147
t850,11,pruned_1_layers_epoch_6,1.7159951685527184
t850,12,backbone,1.5856013770875983
t850,12,backbone_epoch_6,1.7198382502827565
t850,12,pruned_1_layers_epoch_6,1.8821576460779712
t850,13,backbone,1.6877206377476954
t850,13,backbone_epoch_6,1.8326755495710745
t850,13,pruned_1_layers_epoch_6,2.057176884326189
t850,14,backbone,1.8103787446155228
t850,14,backbone_epoch_6,1.955792351141988
t850,14,pruned_1_layers_epoch_6,2.255959060605012
t850,15,backbone,1.91674061460868
t850,15,backbone_epoch_6,2.071118298855574
t850,15,pruned_1_layers_epoch_6,2.474290799828215
t850,16,backbone,2.039217377508153
t850,16,backbone_epoch_6,2.1939118261443835
t850,16,pruned_4_layers_epoch_6,2.6497636480704365
t850,17,backbone,2.1463008799366445
t850,17,backbone_epoch_6,2.3086659348876784
t850,17,pruned_4_layers_epoch_6,2.7956025147571246
t850,18,backbone,2.2679518281414524
t850,18,backbone_epoch_6,2.429887525196182
t850,18,pruned_4_layers_epoch_6,2.942061196492371
t850,19,backbone,2.3736496517778107
t850,19,backbone_epoch_6,2.5414892614886746
t850,19,pruned_4_layers_epoch_6,3.0815280709186745
t850,20,backbone,2.491949409079951
t850,20,backbone_epoch_6,2.6584448321571563
t850,20,pruned_4_layers_epoch_6,3.2201015869332426
t850,21,backbone,2.594440341661762
t850,21,backbone_epoch_6,2.764713060922463
t850,21,pruned_4_layers_epoch_6,3.3498770631225416
t850,22,backbone,2.709413004987067
t850,22,backbone_epoch_6,2.8777829921445366
t850,22,pruned_4_layers_epoch_6,3.477567290460597
t850,23,backbone,2.807502079276399
t850,23,backbone_epoch_6,2.978590305957048
t850,23,pruned_4_layers_epoch_6,3.5963683954164303
t850,24,backbone,2.9167530723124244
t850,24,backbone_epoch_6,3.0858761251971707
t850,24,pruned_4_layers_epoch_6,3.712762863276391
t850,25,backbone,3.0083922047854803
t850,25,backbone_epoch_6,3.1788523130576705
t850,25,pruned_4_layers_epoch_6,3.818396606924813
t850,26,backbone,3.1117393144682133
t850,26,backbone_epoch_6,3.2800574742215973
t850,26,pruned_4_layers_epoch_6,3.9224854208237634
t850,27,backbone,3.1965899600663
t850,27,backbone_epoch_6,3.367630352521076
t850,27,pruned_4_layers_epoch_6,4.016917384536573
t850,28,backbone,3.290644641695076
t850,28,backbone_epoch_6,3.464348256254995
t850,28,pruned_4_layers_epoch_6,4.110941194289223
u10,1,backbone,0.5793602233492462
u10,1,backbone_epoch_6,0.5817346909192688
u10,1,pruned_1_layers_epoch_6,0.588428879916335
u10,2,backbone,0.7766938755632112
u10,2,backbone_epoch_6,0.7859363932183335
u10,2,pruned_1_layers_epoch_6,0.7958618562314763
u10,3,backbone,0.867956441207971
u10,3,backbone_epoch_6,0.8948462575507563
u10,3,pruned_1_layers_epoch_6,0.9095280090523832
u10,4,backbone,1.0270036742007933
u10,4,backbone_epoch_6,1.061337278541906
u10,4,pruned_1_layers_epoch_6,1.0811968708837498
u10,5,backbone,1.1375752214612909
u10,5,backbone_epoch_6,1.1919855718506116
u10,5,pruned_1_layers_epoch_6,1.2188344481271072
u10,6,backbone,1.3049535671425931
u10,6,backbone_epoch_6,1.366501178821372
u10,6,pruned_1_layers_epoch_6,1.4007071669541258
u10,7,backbone,1.437027101410168
u10,7,backbone_epoch_6,1.5179763532883628
u10,7,pruned_1_layers_epoch_6,1.5613442672697526
u10,8,backbone,1.6087987469561271
u10,8,backbone_epoch_6,1.6948760914402967
u10,8,pruned_1_layers_epoch_6,1.747153362748343
u10,9,backbone,1.7556482939746794
u10,9,backbone_epoch_6,1.858525770336556
u10,9,pruned_1_layers_epoch_6,1.921334630950203
u10,10,backbone,1.9283581665774296
u10,10,backbone_epoch_6,2.034403495948408
u10,10,pruned_1_layers_epoch_6,2.105944718062545
u10,11,backbone,2.081532229924336
u10,11,backbone_epoch_6,2.201114923594384
u10,11,pruned_1_layers_epoch_6,2.282911154144969
u10,12,backbone,2.249024748136212
u10,12,backbone_epoch_6,2.3706042939724203
u10,12,pruned_1_layers_epoch_6,2.459124274759985
u10,13,backbone,2.4041292867181023
u10,13,backbone_epoch_6,2.536534684996365
u10,13,pruned_1_layers_epoch_6,2.6352400646529386
u10,14,backbone,2.566989764154956
u10,14,backbone_epoch_6,2.6991358482637886
u10,14,pruned_1_layers_epoch_6,2.8072096409078418
u10,15,backbone,2.719012281748169
u10,15,backbone_epoch_6,2.859913635520296
u10,15,pruned_1_layers_epoch_6,2.983064956505205
u10,16,backbone,2.8701228562680035
u10,16,backbone_epoch_6,3.010171248260157
u10,16,pruned_1_layers_epoch_6,3.151471107365699
u10,17,backbone,3.012995682615142
u10,17,backbone_epoch_6,3.159956207488502
u10,17,pruned_1_layers_epoch_6,3.3270165880299145
u10,18,backbone,3.1520888259290984
u10,18,backbone_epoch_6,3.2952390249881
u10,18,pruned_1_layers_epoch_6,3.4911021240596667
u10,19,backbone,3.2860978062592405
u10,19,backbone_epoch_6,3.434410016629949
u10,19,pruned_1_layers_epoch_6,3.666296054531076
u10,20,backbone,3.4105029092820662
u10,20,backbone_epoch_6,3.5545584303040743
u10,20,pruned_2_layers_epoch_6,3.8091107613547552
u10,21,backbone,3.5333437866338806
u10,21,backbone_epoch_6,3.6803113601727193
u10,21,pruned_2_layers_epoch_6,3.960307695346172
u10,22,backbone,3.642623757516872
u10,22,backbone_epoch_6,3.7847797364496
u10,22,pruned_4_layers_epoch_6,4.084916932622813
u10,23,backbone,3.753951572173136
u10,23,backbone_epoch_6,3.898567021226084
u10,23,pruned_4_layers_epoch_6,4.18023330272909
u10,24,backbone,3.8501744110491023
u10,24,backbone_epoch_6,3.989553719259507
u10,24,pruned_4_layers_epoch_6,4.248205998756366
u10,25,backbone,3.950477544155867
u10,25,backbone_epoch_6,4.092381674484168
u10,25,pruned_4_layers_epoch_6,4.3302039873666605
u10,26,backbone,4.034287254237596
u10,26,backbone_epoch_6,4.170218040157297
u10,26,pruned_4_layers_epoch_6,4.38464519031887
u10,27,backbone,4.125731974340684
u10,27,backbone_epoch_6,4.259508307419676
u10,27,pruned_4_layers_epoch_6,4.455370684575768
u10,28,backbone,4.1968581143704204
u10,28,backbone_epoch_6,4.32116948825687
u10,28,pruned_4_layers_epoch_6,4.496899620780732
v10,1,backbone,0.5870744153108011
v10,1,backbone_epoch_6,0.5903552943767783
v10,1,pruned_1_layers_epoch_6,0.5971269574245262
v10,2,backbone,0.8021436979650786
v10,2,backbone_epoch_6,0.8120228175344414
v10,2,pruned_1_layers_epoch_6,0.822397354594822
v10,3,backbone,0.8990687701289214
v10,3,backbone_epoch_6,0.927851357606536
v10,3,pruned_1_layers_epoch_6,0.9415601891512312
v10,4,backbone,1.0609520713710252
v10,4,backbone_epoch_6,1.0969626517269198
v10,4,pruned_1_layers_epoch_6,1.1145643035792772
v10,5,backbone,1.176204905829616
v10,5,backbone_epoch_6,1.2329849450947852
v10,5,pruned_1_layers_epoch_6,1.2578375179674373
v10,6,backbone,1.3456002393914337
v10,6,backbone_epoch_6,1.409098727743053
v10,6,pruned_1_layers_epoch_6,1.4415444735042209
v10,7,backbone,1.4839685935547895
v10,7,backbone_epoch_6,1.56836032934029
v10,7,pruned_1_layers_epoch_6,1.610291610216961
v10,8,backbone,1.6567926693229036
v10,8,backbone_epoch_6,1.7459717509466843
v10,8,pruned_1_layers_epoch_6,1.7967506187588145
v10,9,backbone,1.808570139900932
v10,9,backbone_epoch_6,1.9157252731269965
v10,9,pruned_1_layers_epoch_6,1.9760253868955475
v10,10,backbone,1.9816964165458464
v10,10,backbone_epoch_6,2.0913180991924007
v10,10,pruned_1_layers_epoch_6,2.157907973454652
v10,11,backbone,2.1404548470534426
v10,11,backbone_epoch_6,2.2648664732885093
v10,11,pruned_1_layers_epoch_6,2.3386396762379054
v10,12,backbone,2.3086825589227944
v10,12,backbone_epoch_6,2.4342252648742506
v10,12,pruned_1_layers_epoch_6,2.5132380850488247
v10,13,backbone,2.469074634200368
v10,13,backbone_epoch_6,2.6065059427442496
v10,13,pruned_1_layers_epoch_6,2.6939160650668863
v10,14,backbone,2.628796445590824
v10,14,backbone_epoch_6,2.7668045752541315
v10,14,pruned_1_layers_epoch_6,2.861043423913711
v10,15,backbone,2.7866292172970053
v10,15,backbone_epoch_6,2.934156174100312
v10,15,pruned_1_layers_epoch_6,3.040332134875505
v10,16,backbone,2.936490156131084
v10,16,backbone_epoch_6,3.081497847700918
v10,16,pruned_1_layers_epoch_6,3.2023971786712133
v10,17,backbone,3.0900285736808564
v10,17,backbone_epoch_6,3.239224348654294
v10,17,pruned_1_layers_epoch_6,3.3835702874807008
v10,18,backbone,3.227110716217723
v10,18,backbone_epoch_6,3.373140191232692
v10,18,pruned_1_layers_epoch_6,3.5421916119879184
v10,19,backbone,3.3750494765169794
v10,19,backbone_epoch_6,3.5218631275539294
v10,19,pruned_1_layers_epoch_6,3.728325472197719
v10,20,backbone,3.5031678863077857
v10,20,backbone_epoch_6,3.642516671612276
v10,20,pruned_2_layers_epoch_6,3.862346111063185
v10,21,backbone,3.643935427319404
v10,21,backbone_epoch_6,3.78211984421288
v10,21,pruned_2_layers_epoch_6,4.033876709431909
v10,22,backbone,3.756740905719096
v10,22,backbone_epoch_6,3.8907135065707417
v10,22,pruned_2_layers_epoch_6,4.1613814950655295
v10,23,backbone,3.8848052291230784
v10,23,backbone_epoch_6,4.019120266983629
v10,23,pruned_2_layers_epoch_6,4.335189010843885
v10,24,backbone,3.97888423077887
v10,24,backbone_epoch_6,4.108454761558405
v10,24,pruned_2_layers_epoch_6,4.459128222651988
v10,25,backbone,4.092420937628719
v10,25,backbone_epoch_6,4.22119608937695
v10,25,pruned_4_layers_epoch_6,4.57581873179814
v10,26,backbone,4.169846075207161
v10,26,backbone_epoch_6,4.291764047558747
v10,26,pruned_4_layers_epoch_6,4.614867645934973
v10,27,backbone,4.276009626228716
v10,27,backbone_epoch_6,4.393657841495961
v10,27,pruned_4_layers_epoch_6,4.709283341242615
v10,28,backbone,4.342829147530668
v10,28,backbone_epoch_6,4.453504988601088
v10,28,pruned_4_layers_epoch_6,4.729489050763945
z500,1,backbone_epoch_6,34.795140037323506
z500,1,pruned_1_layers_epoch_6,34.93897309116811
z500,1,backbone,36.96995054276962
z500,2,backbone,51.52091954407079
z500,2,backbone_epoch_6,54.04459575035053
z500,2,pruned_1_layers_epoch_6,54.3825831919409
z500,3,backbone,63.62037038536711
z500,3,backbone_epoch_6,70.58098693932901
z500,3,pruned_1_layers_epoch_6,70.82834086071846
z500,4,backbone,82.16733384798358
z500,4,backbone_epoch_6,91.73007415260015
z500,4,pruned_1_layers_epoch_6,92.4227879700048
z500,5,backbone,98.03055572509766
z500,5,backbone_epoch_6,111.6396882893653
z500,5,pruned_1_layers_epoch_6,112.62845585998876
z500,6,backbone,119.646077204017
z500,6,backbone_epoch_6,135.29164366482357
z500,6,pruned_1_layers_epoch_6,137.17010280673065
z500,7,backbone,138.03661576596053
z500,7,backbone_epoch_6,157.33227939712268
z500,7,pruned_1_layers_epoch_6,159.9828085446491
z500,8,backbone,161.36262247948673
z500,8,backbone_epoch_6,182.55680923888136
z500,8,pruned_1_layers_epoch_6,186.49021971292336
z500,9,backbone,182.4740946679142
z500,9,backbone_epoch_6,206.6383164901307
z500,9,pruned_1_layers_epoch_6,211.8427163235968
z500,10,backbone,208.0126748537884
z500,10,backbone_epoch_6,233.77597821624585
z500,10,pruned_1_layers_epoch_6,240.52108065642457
z500,11,backbone,231.66164862776603
z500,11,backbone_epoch_6,259.8987065320574
z500,11,pruned_1_layers_epoch_6,268.2456812512275
z500,12,backbone,258.93492117940383
z500,12,backbone_epoch_6,288.7071101865289
z500,12,pruned_1_layers_epoch_6,298.8960890103985
z500,13,backbone,284.7218889630707
z500,13,backbone_epoch_6,316.6386611341764
z500,13,pruned_1_layers_epoch_6,328.9486176048577
z500,14,backbone,313.61880152185535
z500,14,backbone_epoch_6,347.03914910854576
z500,14,pruned_1_layers_epoch_6,361.9200072901209
z500,15,backbone,340.95229659266977
z500,15,backbone_epoch_6,376.2669906189988
z500,15,pruned_1_layers_epoch_6,394.2745030578954
z500,16,backbone,370.6368241123647
z500,16,backbone_epoch_6,407.4808233676676
z500,16,pruned_1_layers_epoch_6,429.1284952003863
z500,17,backbone,398.5739928517262
z500,17,backbone_epoch_6,437.2038657758489
z500,17,pruned_1_layers_epoch_6,463.0539470651297
z500,18,backbone,428.4601148893048
z500,18,backbone_epoch_6,468.5715580945574
z500,18,pruned_1_layers_epoch_6,498.9410898219274
z500,19,backbone,456.19416936948977
z500,19,backbone_epoch_6,497.8921213842637
z500,19,pruned_1_layers_epoch_6,533.0516256833209
z500,20,backbone,485.5751056351475
z500,20,backbone_epoch_6,528.4659125471915
z500,20,pruned_1_layers_epoch_6,568.9313420983
z500,21,backbone,512.4999275420631
z500,21,backbone_epoch_6,556.7784507367865
z500,21,pruned_2_layers_epoch_6,602.5939677147892
z500,22,backbone,540.7385664785375
z500,22,backbone_epoch_6,586.2277030731713
z500,22,pruned_2_layers_epoch_6,634.7479021296155
z500,23,backbone,566.434262749869
z500,23,backbone_epoch_6,613.1925111909153
z500,23,pruned_2_layers_epoch_6,664.8556153707664
z500,24,backbone,593.3711491590105
z500,24,backbone_epoch_6,641.0758472634427
z500,24,pruned_2_layers_epoch_6,695.5537402616533
z500,25,backbone,617.8017690647914
z500,25,backbone_epoch_6,666.230764719361
z500,25,pruned_2_layers_epoch_6,723.971371442912
z500,26,backbone,643.567575124389
z500,26,backbone_epoch_6,692.3082121950288
z500,26,pruned_2_layers_epoch_6,753.1666426845103
z500,27,backbone,666.6720887935361
z500,27,backbone_epoch_6,715.6691969546525
z500,27,pruned_2_layers_epoch_6,779.7895531680997
z500,28,backbone,690.9296308975646
z500,28,backbone_epoch_6,739.9377373210544
z500,28,pruned_2_layers_epoch_6,806.9718822287448
